City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,San Policarpo,PH,2021-05-27 16:03:47,12.1791,125.5072,82.78,82,52,8.72
263,Vardo,NO,2021-05-27 16:03:47,70.3705,31.1107,44.8,65,0,20.71
264,Ayorou,NE,2021-05-27 16:03:48,14.7308,0.9174,108.81,13,32,10.6
265,Broken Hill,AU,2021-05-27 16:03:48,-31.95,141.4333,48.43,77,0,10.45
266,Pecos,US,2021-05-27 16:03:48,31.4229,-103.4932,83.23,61,1,3.44
267,Chengde,CN,2021-05-27 16:03:48,40.9725,117.9361,56.41,64,67,15.43
268,Vanimo,PG,2021-05-27 16:03:49,-2.6741,141.3028,78.6,87,98,4.7
269,Ucluelet,CA,2021-05-27 16:03:49,48.9329,-125.5528,54.09,92,100,1.01
270,Luba,GQ,2021-05-27 16:03:49,3.4568,8.5547,81.75,81,60,7.58
271,Tallahassee,US,2021-05-27 16:00:36,30.4383,-84.2807,87.53,60,46,1.01
272,Touros,BR,2021-05-27 16:03:50,-5.1989,-35.4608,84.47,66,71,17.58
273,Torbay,CA,2021-05-27 16:03:24,47.6666,-52.7314,62.49,87,97,25.21
274,Saldanha,ZA,2021-05-27 16:03:50,-33.0117,17.9442,59.22,82,44,8.63
275,San Rafael,AR,2021-05-27 16:03:52,-34.6177,-68.3301,68.63,21,31,6.53
276,Waipawa,NZ,2021-05-27 16:03:52,-41.4122,175.5153,50.63,91,41,5.5
277,Moerai,PF,2021-05-27 16:03:52,-22.4333,-151.3333,77.31,81,44,10.25
278,Nakatsugawa,JP,2021-05-27 16:03:52,35.4833,137.5,63.1,97,100,0.92
279,Grindavik,IS,2021-05-27 16:03:53,63.8424,-22.4338,51.57,62,20,22.06
280,Taltal,CL,2021-05-27 16:01:51,-25.4,-70.4833,67.59,69,69,4.92
281,Tongren,CN,2021-05-27 16:00:25,27.7172,109.1853,69.82,87,98,2.62
282,Thunder Bay,CA,2021-05-27 16:00:29,48.4001,-89.3168,39.56,36,45,7.23
283,Kalmunai,LK,2021-05-27 16:03:54,7.4167,81.8167,82.83,70,34,4.38
284,Marawi,PH,2021-05-27 16:03:54,7.9986,124.2928,71.65,93,82,1.74
285,Mamallapuram,IN,2021-05-27 16:03:54,12.6264,80.1722,87.06,60,68,11.59
286,Altay,CN,2021-05-27 16:03:55,47.8667,88.1167,70.43,29,1,6.24
287,Eregli,TR,2021-05-27 16:03:55,37.5133,34.0467,66.09,57,80,9.82
288,Rapid City,US,2021-05-27 16:03:55,44.0805,-103.231,44.55,94,90,3.0
289,High Prairie,CA,2021-05-27 16:00:45,55.4334,-116.4858,54.7,82,100,5.32
290,Raymondville,US,2021-05-27 16:03:56,26.4815,-97.7831,88.02,62,12,16.37
291,Provideniya,RU,2021-05-27 16:03:56,64.3833,-173.3,39.76,57,92,8.99
